2026-02-26 21:51:23,078 | INFO | app.pipeline.scan_pipeline | OHLCV VPB: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,079 | INFO | app.pipeline.scan_pipeline | OHLCV VPG: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,080 | INFO | app.pipeline.scan_pipeline | OHLCV VPI: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,082 | INFO | app.pipeline.scan_pipeline | OHLCV VRC: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,083 | INFO | app.pipeline.scan_pipeline | OHLCV VRE: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,083 | INFO | app.pipeline.scan_pipeline | OHLCV VSC: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,084 | INFO | app.pipeline.scan_pipeline | OHLCV VSH: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,086 | INFO | app.pipeline.scan_pipeline | OHLCV VTB: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,086 | INFO | app.pipeline.scan_pipeline | OHLCV VTH: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,086 | INFO | app.pipeline.scan_pipeline | OHLCV VTP: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,086 | INFO | app.pipeline.scan_pipeline | OHLCV VTS: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,086 | INFO | app.pipeline.scan_pipeline | OHLCV YEG: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:26,312 | INFO | app.pipeline.scan_pipeline | Fetched VNINDEX rows: 249
2026-02-26 21:51:26,312 | INFO | app.pipeline.scan_pipeline | VNINDEX range=2025-02-26..2026-02-26
2026-02-26 21:51:27,387 | WARNING | app.pipeline.scan_pipeline | Validation skipped 12 symbols: BCG, DDG, ITA, SSN, TMP, TMS, VMC, VRC, VSH, VTB, VTH, VTS
2026-02-26 21:51:27,387 | WARNING | app.pipeline.scan_pipeline | Missing sector noted 2 symbols: CTR, PGC
2026-02-26 21:51:27,534 | INFO | app.pipeline.scan_pipeline | Liquidity filtered 29 symbols: ABS, APG, APH, ASM, C4G, CCL, CHP, DL1, GIL, L14, NBB, NHH, NVB, PGC, PPC, RAL, SAM, SGN, TDC, THD, TLH, TVB, TVS, VC2, VCS, VIG, VNE, VNR, VPG
2026-02-26 21:51:27,535 | WARNING | app.pipeline.scan_pipeline | Universe size below minimum: 116/150
2026-02-26 21:51:31,705 | WARNING | hmmlearn.base | Model is not converging.  Current: 487.50592616565496 is not greater than 497.2514051159395. Delta is -9.745478950284564
2026-02-26 21:51:31,718 | INFO | app.pipeline.scan_pipeline | Market regime: NEUTRAL (44.3%) on 2026-02-26
2026-02-26 21:51:31,718 | INFO | app.pipeline.scan_pipeline | Market breadth > MA20: 76.3% | > MA50: 63.2%
2026-02-26 21:51:33,120 | INFO | app.pipeline.scan_pipeline | Scored AAA: regime=MARKUP score=47.8
2026-02-26 21:51:33,149 | INFO | app.pipeline.scan_pipeline | Scored ACB: regime=ACCUMULATION_WEAK score=56.8
2026-02-26 21:51:33,170 | INFO | app.pipeline.scan_pipeline | Scored ACV: regime=DISTRIBUTION score=26.9
2026-02-26 21:51:33,197 | INFO | app.pipeline.scan_pipeline | Scored ANV: regime=ACCUMULATION_WEAK score=51.1
2026-02-26 21:51:33,211 | INFO | app.pipeline.scan_pipeline | Scored BCM: regime=DISTRIBUTION score=27.6
2026-02-26 21:51:33,237 | INFO | app.pipeline.scan_pipeline | Scored BFC: regime=DISTRIBUTION score=56.5
2026-02-26 21:51:33,258 | INFO | app.pipeline.scan_pipeline | Scored BID: regime=DISTRIBUTION score=41.5
2026-02-26 21:51:33,278 | INFO | app.pipeline.scan_pipeline | Scored BSI: regime=MARKDOWN score=43.6
2026-02-26 21:51:33,295 | INFO | app.pipeline.scan_pipeline | Scored BVH: regime=MARKUP score=59.1
2026-02-26 21:51:33,319 | INFO | app.pipeline.scan_pipeline | Scored BWE: regime=MARKDOWN score=19.6
2026-02-26 21:51:33,349 | INFO | app.pipeline.scan_pipeline | Scored CEO: regime=ACCUMULATION_WEAK score=37.4
2026-02-26 21:51:33,370 | INFO | app.pipeline.scan_pipeline | Scored CII: regime=ACCUMULATION_WEAK score=44.2
2026-02-26 21:51:33,391 | INFO | app.pipeline.scan_pipeline | Scored CMG: regime=ACCUMULATION_WEAK score=24.5
2026-02-26 21:51:33,408 | INFO | app.pipeline.scan_pipeline | Scored CSV: regime=DISTRIBUTION score=50.6
2026-02-26 21:51:33,425 | INFO | app.pipeline.scan_pipeline | Scored CTD: regime=MARKDOWN score=62.2
2026-02-26 21:51:33,446 | INFO | app.pipeline.scan_pipeline | Scored CTG: regime=ACCUMULATION_WEAK score=49.9
2026-02-26 21:51:33,458 | INFO | app.pipeline.scan_pipeline | Scored CTR: regime=DISTRIBUTION score=33.7
2026-02-26 21:51:33,478 | INFO | app.pipeline.scan_pipeline | Scored DBC: regime=DISTRIBUTION score=37.0
2026-02-26 21:51:33,488 | WARNING | app.pipeline.scan_pipeline | Signal validation failed for DCM: missing_buy_zone
2026-02-26 21:51:33,506 | INFO | app.pipeline.scan_pipeline | Scored DGW: regime=MARKUP score=56.9
2026-02-26 21:51:33,532 | INFO | app.pipeline.scan_pipeline | Scored DHC: regime=ACCUMULATION_WEAK score=59.7
2026-02-26 21:51:33,555 | INFO | app.pipeline.scan_pipeline | Scored DIG: regime=MARKDOWN score=38.9
2026-02-26 21:51:33,573 | INFO | app.pipeline.scan_pipeline | Scored DPM: regime=DISTRIBUTION score=64.9
2026-02-26 21:51:33,597 | INFO | app.pipeline.scan_pipeline | Scored DRC: regime=DISTRIBUTION score=47.1
2026-02-26 21:51:33,624 | INFO | app.pipeline.scan_pipeline | Scored DXG: regime=MARKDOWN score=51.6
2026-02-26 21:51:33,643 | INFO | app.pipeline.scan_pipeline | Scored DXS: regime=MARKDOWN score=25.8
2026-02-26 21:51:33,660 | INFO | app.pipeline.scan_pipeline | Scored EIB: regime=MARKDOWN score=63.2
2026-02-26 21:51:33,684 | INFO | app.pipeline.scan_pipeline | Scored ELC: regime=DISTRIBUTION score=13.9
2026-02-26 21:51:33,707 | INFO | app.pipeline.scan_pipeline | Scored EVF: regime=ACCUMULATION_WEAK score=54.0
2026-02-26 21:51:33,729 | INFO | app.pipeline.scan_pipeline | Scored FCN: regime=ACCUMULATION_WEAK score=32.6
2026-02-26 21:51:33,750 | INFO | app.pipeline.scan_pipeline | Scored FPT: regime=DISTRIBUTION score=21.7
2026-02-26 21:51:33,773 | INFO | app.pipeline.scan_pipeline | Scored FRT: regime=MARKUP score=61.7
2026-02-26 21:51:33,788 | INFO | app.pipeline.scan_pipeline | Scored GAS: regime=DISTRIBUTION score=49.5
2026-02-26 21:51:33,808 | INFO | app.pipeline.scan_pipeline | Scored GEX: regime=ACCUMULATION_WEAK score=63.1
2026-02-26 21:51:33,823 | INFO | app.pipeline.scan_pipeline | Scored GMD: regime=ACCUMULATION_WEAK score=63.8
2026-02-26 21:51:33,842 | INFO | app.pipeline.scan_pipeline | Scored GVR: regime=DISTRIBUTION score=61.3
2026-02-26 21:51:33,859 | INFO | app.pipeline.scan_pipeline | Scored HAG: regime=MARKDOWN score=32.7
2026-02-26 21:51:33,873 | INFO | app.pipeline.scan_pipeline | Scored HAX: regime=DISTRIBUTION score=46.8
2026-02-26 21:51:33,892 | INFO | app.pipeline.scan_pipeline | Scored HCM: regime=ACCUMULATION_WEAK score=61.9
2026-02-26 21:51:33,907 | INFO | app.pipeline.scan_pipeline | Scored HDB: regime=ACCUMULATION_WEAK score=52.5
2026-02-26 21:51:33,926 | INFO | app.pipeline.scan_pipeline | Scored HDG: regime=ACCUMULATION_WEAK score=49.5
2026-02-26 21:51:33,945 | INFO | app.pipeline.scan_pipeline | Scored HHV: regime=MARKDOWN score=41.3
2026-02-26 21:51:33,961 | INFO | app.pipeline.scan_pipeline | Scored HNG: regime=DISTRIBUTION score=61.8
2026-02-26 21:51:33,967 | WARNING | app.pipeline.scan_pipeline | Signal validation failed for HPG: missing_buy_zone        
2026-02-26 21:51:33,985 | INFO | app.pipeline.scan_pipeline | Scored HSG: regime=MARKDOWN score=57.1
2026-02-26 21:51:34,005 | INFO | app.pipeline.scan_pipeline | Scored HT1: regime=ACCUMULATION_WEAK score=40.1
2026-02-26 21:51:34,028 | INFO | app.pipeline.scan_pipeline | Scored IDC: regime=DISTRIBUTION score=51.6
